"street_name","accident_street","total_accident","percent_accident_street"
"Sharrotts Lane","3","238421","0.00"
"Fresh Meadow Lane","11","238421","0.00"
"Eaton Place","2","238421","0.00"
"Provost Street","11","238421","0.00"
"152 Avenue","4","238421","0.00"
"Pettit Avenue","10","238421","0.00"
"22 Drive","3","238421","0.00"
"Locke Street","1","238421","0.00"
"Morani Street","5","238421","0.00"
"20 Lane","2","238421","0.00"
"Nostrand","1","238421","0.00"
"Beach Walk","1","238421","0.00"
"Eagan Avenue","1","238421","0.00"
"Hamden Avenue","1","238421","0.00"
"Alvine Avenue","1","238421","0.00"
"Bidwell Avenue","1","238421","0.00"
"Enright Road","3","238421","0.00"
"Bayport Place","5","238421","0.00"
"Cornaga  Avenue","1","238421","0.00"
"Santiago Street","3","238421","0.00"
"Bryant Street","1","238421","0.00"
"Branton Street","1","238421","0.00"
"Beach 42 Street","3","238421","0.00"
"Dongan Place","2","238421","0.00"
"W 120 St","1","238421","0.00"
"Grove Avenue","3","238421","0.00"
"Pendale Street","3","238421","0.00"
"W 37 St","1","238421","0.00"
"South Ave","1","238421","0.00"
"Roff Street","3","238421","0.00"
"North 4Th Street","1","238421","0.00"
"Darnell Lane","1","238421","0.00"
"Allendale Street","7","238421","0.00"
"Garfield Street","8","238421","0.00"
"Austell Place","1","238421","0.00"
"West 99 Street","9","238421","0.00"
"Brighton 11 Street","11","238421","0.00"
"Stafford Avenue","5","238421","0.00"
"80 Avenue","8","238421","0.00"
"Gelston Avenue","7","238421","0.00"
"Jay Avenue","2","238421","0.00"
"Beach 64 Street","2","238421","0.00"
"Combs Avenue","1","238421","0.00"
"Bertram Avenue","1","238421","0.00"
"North End Avenue","8","238421","0.00"
"Hamilton Terrace","2","238421","0.00"
"Woodpoint Road","9","238421","0.00"
"W 58 Street","1","238421","0.00"
"W 244","1","238421","0.00"
"Monterey Street","2","238421","0.00"
"Stroud Avenue","2","238421","0.00"
"Fatherzeiser Place","1","238421","0.00"
"Oakland Place","4","238421","0.00"
"Allen Avenue","3","238421","0.00"
"Holly Avenue","11","238421","0.00"
"Old Amboy Road","2","238421","0.00"
"Union Square West","5","238421","0.00"
"Ed Koch Bridge Upper Roadway","1","238421","0.00"
"Saint Josephs Avenue","2","238421","0.00"
"Elvira Avenue","3","238421","0.00"
"120 Road","7","238421","0.00"
"Cathedral Place","1","238421","0.00"
"Admiral Avenue","2","238421","0.00"
"St Luke'S Place","1","238421","0.00"
"Sunnyside Street","1","238421","0.00"
"91 Road","2","238421","0.00"
"Brisbin Street","3","238421","0.00"
"Ramona Avenue","4","238421","0.00"
"138 Road","5","238421","0.00"
"Brighton 1 Place","2","238421","0.00"
"Rogers","1","238421","0.00"
"195 Place","5","238421","0.00"
"Brocher Road","1","238421","0.00"
"59Th Road","1","238421","0.00"
"Frederick Douglass Boulevard","1","238421","0.00"
"Gramercy Park North","5","238421","0.00"
"Oakland Avenue","10","238421","0.00"
"Hudson Parkway","4","238421","0.00"
"Point Crescent","2","238421","0.00"
"Brown Avenue","1","238421","0.00"
"Queens Plaza S","1","238421","0.00"
"Thomas S. Boyland St","1","238421","0.00"
"Glenwood Place","1","238421","0.00"
"Bay 50 Street","9","238421","0.00"
"Ionia Avenue","2","238421","0.00"
"Poplar Avenue","5","238421","0.00"
"Randolph Street","11","238421","0.00"
"West 211 Street","6","238421","0.00"
"Home Place","1","238421","0.00"
"Dinsmore Avenue","2","238421","0.00"
"178 Place","8","238421","0.00"
"Prospect Park South West","1","238421","0.00"
"Shirley Avenue","1","238421","0.00"
"Beach 77 Street","3","238421","0.00"
"Kildare Road","1","238421","0.00"
"109 Drive","1","238421","0.00"
"Ada Drive","4","238421","0.00"
"126 Avenue","8","238421","0.00"
"Beach 100 Street","4","238421","0.00"
"Kensico Avenue","1","238421","0.00"
"19401C 64Th Circle","1","238421","0.00"
"Henry Hudson Parkway E","1","238421","0.00"
"Crommelin Street","3","238421","0.00"
"Nostrand Ave","1","238421","0.00"
"Marina Rd","2","238421","0.00"
"Wadsworth Road","1","238421","0.00"
"Jefferson Place","8","238421","0.00"
"Van Wyck Service Road","3","238421","0.00"
"Marconi Place","1","238421","0.00"
"Mansion Avenue","2","238421","0.00"
"Brighton 10 Court","1","238421","0.00"
"New Dorp Plaza","9","238421","0.00"
"Keiber Court","1","238421","0.00"
"Beach 113 Street","1","238421","0.00"
"Augusta Ct","1","238421","0.00"
"Mount Olivet Crescent","9","238421","0.00"
"Campbell Drive","1","238421","0.00"
"Foch Blvd","1","238421","0.00"
"Winant Avenue","9","238421","0.00"
"Mowbray Drive","1","238421","0.00"
"East 153Rd Street","1","238421","0.00"
"Harding Expressway","10","238421","0.00"
"Mayfair Drive South","4","238421","0.00"
"Harvard Avenue","2","238421","0.00"
"Meehan Avenue","5","238421","0.00"
"75 Road","8","238421","0.00"
"W 21 Street","1","238421","0.00"
"Satterlee Street","2","238421","0.00"
"Saint Charles Place","2","238421","0.00"
"Paerdegat 11 Street","3","238421","0.00"
"Orient Avenue","4","238421","0.00"
"Dr Theodore Kazimiroff Blvd","3","238421","0.00"
"Edge Street","1","238421","0.00"
"Paerdegat 12 Street","2","238421","0.00"
"Chatham Square","7","238421","0.00"
"Vantuyl Street","1","238421","0.00"
"Fieldway Avenue","2","238421","0.00"
"Rene Drive","1","238421","0.00"
"Treadwell Avenue","5","238421","0.00"
"Milton Street","6","238421","0.00"
"Putnam Ave West","1","238421","0.00"
"Elton St","1","238421","0.00"
"Ocean Promenade","6","238421","0.00"
"Elm Street","9","238421","0.00"
"Kissel Avenue","3","238421","0.00"
"Purcell Street","1","238421","0.00"
"Bell Blvd","1","238421","0.00"
"Yale Street","1","238421","0.00"
"Wren Place","1","238421","0.00"
"Tyrellan Avenue","5","238421","0.00"
"Daniels Street","3","238421","0.00"
"Flagg Place","5","238421","0.00"
"Barnwell Avenue","1","238421","0.00"
"Fairview Place","2","238421","0.00"
"Elizabeth Avenue","4","238421","0.00"
"53 Road","5","238421","0.00"
"Throop Ave","1","238421","0.00"
"Beach Road","3","238421","0.00"
"Coddington Avenue","7","238421","0.00"
"Un Plaza","8","238421","0.00"
"Mc Clancy Place","1","238421","0.00"
"Roseville Avenue","1","238421","0.00"
"Gatling Place","11","238421","0.00"
"Nielsen Avenue","1","238421","0.00"
"15 Drive","2","238421","0.00"
"Spencer Avenue","9","238421","0.00"
"Metropolitan Ave","1","238421","0.00"
"Saint Johns Avenue","9","238421","0.00"
"Glenmore Ave","1","238421","0.00"
"Queens Midtown Expressway Servic","1","238421","0.00"
"Harrison Place","8","238421","0.00"
"Tunnel Exit Marginal Street","1","238421","0.00"
"East 229 Drive South","3","238421","0.00"
"Housman","1","238421","0.00"
"Grand Central Parkway Service Ro","1","238421","0.00"
"Glenwood Avenue","1","238421","0.00"
"Gladwin Avenue","2","238421","0.00"
"Rawlings Avenue","2","238421","0.00"
"Waterview Street","1","238421","0.00"
"Pitkin Avenu","1","238421","0.00"
"1St Avenue","2","238421","0.00"
"Williams Place","3","238421","0.00"
"Denis Street","1","238421","0.00"
"161 Place","3","238421","0.00"
"94 Drive","1","238421","0.00"
"City Hall Park","1","238421","0.00"
"Huntington Avenue","9","238421","0.00"
"53 Drive","4","238421","0.00"
"Erika Loop","2","238421","0.00"
"39Rd","1","238421","0.00"
"Broadway Avenue","8","238421","0.00"
"East 23 Street & Park Avenue","1","238421","0.00"
"Bedford Park Boulevard West","1","238421","0.00"
"Brighton 2 Street","10","238421","0.00"
"Adele Street","1","238421","0.00"
"Whitehall Terrace","3","238421","0.00"
"Astoria Park North","1","238421","0.00"
"Logan Avene","1","238421","0.00"
"Dehart Avenue","2","238421","0.00"
"Blue Slip","2","238421","0.00"
"Colby Court","2","238421","0.00"
"Metrotech Center","11","238421","0.00"
"Minerva Place","5","238421","0.00"
"Park Drive North","1","238421","0.00"
"Bogardus Place","4","238421","0.00"
"Beach Front Road","1","238421","0.00"
"35 Ave","2","238421","0.00"
"Sunset Trail","1","238421","0.00"
"Aspen Place","1","238421","0.00"
"Burnett Street","6","238421","0.00"
"Stack Drive","1","238421","0.00"
"Rushmore Avenue","2","238421","0.00"
"Boller Avenue","7","238421","0.00"
"Ryerson Street","5","238421","0.00"
"88 Road","5","238421","0.00"
"Amundson Avenue","5","238421","0.00"
"117 Avenue","2","238421","0.00"
"Raleigh Street","1","238421","0.00"
"103 Drive","1","238421","0.00"
"Kermit Place","4","238421","0.00"
"151 Street","3","238421","0.00"
"Elverton Avenue","3","238421","0.00"
"237 Street","9","238421","0.00"
"Winchester Avenue","3","238421","0.00"
"Avenue Of America","1","238421","0.00"
"Woodhull Street","5","238421","0.00"
"Dock Street","4","238421","0.00"
"Alberta Avenue","1","238421","0.00"
"Kessel Street","9","238421","0.00"
"Butler Avenue","2","238421","0.00"
"Desbrosses Street","2","238421","0.00"
"Catlin Avenue","1","238421","0.00"
"Murray Lane","1","238421","0.00"
"163 Avenue","6","238421","0.00"
"3718 Oceanic Avenue","1","238421","0.00"
"Avenue F","10","238421","0.00"
"Forest Road","1","238421","0.00"
"Glennon Place","2","238421","0.00"
"Maguire Avenue","6","238421","0.00"
"East 203 Street","10","238421","0.00"
"Bijou Avenue","1","238421","0.00"
"Haddon Street","1","238421","0.00"
"Essex St & Grand St","1","238421","0.00"
"Escanaba Avenue","1","238421","0.00"
"Murray Hulbert Avenue","1","238421","0.00"
"58 2 Avenue","1","238421","0.00"
"99 Place","1","238421","0.00"
"Knolls Crescent","4","238421","0.00"
"Jamaica Bay Greenway","1","238421","0.00"
"Crawford Avenue","4","238421","0.00"
"East 135 Street Ramp","1","238421","0.00"
"Hannah Street","5","238421","0.00"
"Gansevoort Boulevard","4","238421","0.00"
"First Place","1","238421","0.00"
"Elmwood Park Drive","3","238421","0.00"
"West Raleigh Avenue","1","238421","0.00"
"Darrow Place","8","238421","0.00"
"Robinson Street","10","238421","0.00"
"Faraday Avenue","2","238421","0.00"
"Lombard Court","1","238421","0.00"
"Bay 20 Street","9","238421","0.00"
"East 60 Place","2","238421","0.00"
"Kingsland Ave","1","238421","0.00"
"Parsons Blvd","2","238421","0.00"
"Grace Court","3","238421","0.00"
"Douglas Avenue","5","238421","0.00"
"Vanwyck","1","238421","0.00"
"Glen Street","11","238421","0.00"
"Metrotech Roadway","1","238421","0.00"
"W/B Gcp Exit Ramp","1","238421","0.00"
"N Conduit Ave","1","238421","0.00"
"Beach 117 Street","4","238421","0.00"
"Coffey Street","4","238421","0.00"
"Buttrick Avenue","6","238421","0.00"
"Jamaica Ave","1","238421","0.00"
"Chesterton Avenue","1","238421","0.00"
"Swan Street","2","238421","0.00"
"Vancleef Street","4","238421","0.00"
"Twin Pines Drive","8","238421","0.00"
"Ardsley Loop","2","238421","0.00"
"Saint Andrews Place","1","238421","0.00"
"Arthurkill Road","1","238421","0.00"
"Westside Avenue","8","238421","0.00"
"140-158 32Nd St","1","238421","0.00"
"Hassock Street","9","238421","0.00"
"Tides Road","1","238421","0.00"
"Mayville Street","3","238421","0.00"
"Fdr Dr S","1","238421","0.00"
"Lohengrin Place","1","238421","0.00"
"Malden Place","2","238421","0.00"
"Marsh Avenue","11","238421","0.00"
"Northfield Avenue","7","238421","0.00"
"Holten Avenue","1","238421","0.00"
"Royce Street","2","238421","0.00"
"Beach 105 Street","2","238421","0.00"
"Lawton Avenue","8","238421","0.00"
"Scarboro Avenue","4","238421","0.00"
"Bqe","1","238421","0.00"
"Lovingham Place","1","238421","0.00"
"Carlyle Street","2","238421","0.00"
"Buffalo Street","6","238421","0.00"
"Oakdale Street","11","238421","0.00"
"Chisum Place","3","238421","0.00"
"City Boulevard","3","238421","0.00"
"Pilgrim Avenue","5","238421","0.00"
"Kneeland Avenue","3","238421","0.00"
"Rodmans Neck Road","1","238421","0.00"
"Dudley Avenue","5","238421","0.00"
"Vermont Court","1","238421","0.00"
"Grasmere Avenue","2","238421","0.00"
"Davidson Street","3","238421","0.00"
"Centreville Street","1","238421","0.00"
"Codwise Place","2","238421","0.00"
"Maclay Avenue","4","238421","0.00"
"Tysen Street","4","238421","0.00"
"Linwood Avenue","1","238421","0.00"
"Chester Place","2","238421","0.00"
"Noell Avenue","5","238421","0.00"
"Oakville Street","1","238421","0.00"
"Tryon Place","1","238421","0.00"
"Hugh J Grant Circle","8","238421","0.00"
"Clay Pit Road","2","238421","0.00"
"Bulwer Place","1","238421","0.00"
"Joline Avenue","5","238421","0.00"
"East 53 Place","1","238421","0.00"
"Pine Terrace","1","238421","0.00"
"Lakeview Boulevard East","6","238421","0.00"
"Welling Court","2","238421","0.00"
"Weiner Street","1","238421","0.00"
"Chesbrough Avenue","1","238421","0.00"
"Ludwig Lane","3","238421","0.00"
"Montauk Street","4","238421","0.00"
"Kane Street","10","238421","0.00"
"Jackie Robinson","1","238421","0.00"
"Scott A. Gadell Place","1","238421","0.00"
"South Drum Street","1","238421","0.00"
"Riverside Drive West","5","238421","0.00"
"Cross Bay Blvd","3","238421","0.00"
"Monument Walk","6","238421","0.00"
"Cardinal Spellman Pl","1","238421","0.00"
"Columbia Heights","8","238421","0.00"
"Durland Place","1","238421","0.00"
"Dereimer Avenue","10","238421","0.00"
"Gerald Court","2","238421","0.00"
"Walton Street","8","238421","0.00"
"Knesel Street","1","238421","0.00"
"Sitka Street","6","238421","0.00"
"Little League Place","2","238421","0.00"
"Saxon Avenue","3","238421","0.00"
"Reon Avenue","8","238421","0.00"
"Merrill Avenue","2","238421","0.00"
"Pawnee Place","1","238421","0.00"
"Light Street","8","238421","0.00"
"Bay 34 Street","1","238421","0.00"
"Rev James Polite Avenue","1","238421","0.00"
"Plymouth Street","5","238421","0.00"
"Sunset Boulevard","1","238421","0.00"
"Ellery Street","8","238421","0.00"
"Dormans Road","7","238421","0.00"
"Park Hill Circle","3","238421","0.00"
"Tudor Road","3","238421","0.00"
"Washington Bridge 181 Street","1","238421","0.00"
"Dwight Avenue","2","238421","0.00"
"Ankener Avenue","3","238421","0.00"
"Schiefelin Avenue","11","238421","0.00"
"Wiederer Place","1","238421","0.00"
"North 6 Place","1","238421","0.00"
"Brooks Pond Place","1","238421","0.00"
"Vanriper Street","2","238421","0.00"
"Bronx Riv Avenue","1","238421","0.00"
"Pike Slip","2","238421","0.00"
"Piave Avenue","1","238421","0.00"
"Devonshire Road","3","238421","0.00"
"Meisner Avenue","3","238421","0.00"
"W Kingsbridge Road","1","238421","0.00"
"Hampden Place","4","238421","0.00"
"Reservoir Street","1","238421","0.00"
"Beach 79 Street","4","238421","0.00"
"Holmes Lane","1","238421","0.00"
"Beach 62 Street","7","238421","0.00"
"St. Nicholas Avenue","2","238421","0.00"
"Nash Court","1","238421","0.00"
"Tremont Avenue","1","238421","0.00"
"East Williston Avenue","8","238421","0.00"
"Bullard Avenue","8","238421","0.00"
"Matthewson Road","6","238421","0.00"
"Ferry Street","1","238421","0.00"
"Ilyssa Way","3","238421","0.00"
"130 Drive","1","238421","0.00"
"Isabella Avenue","1","238421","0.00"
"Renwick Avenue","2","238421","0.00"
"42 Place","6","238421","0.00"
"Birch Avenue","1","238421","0.00"
"Wells Street","2","238421","0.00"
"Review Place","1","238421","0.00"
"Hendricks Avenue","6","238421","0.00"
"17 Road","5","238421","0.00"
"Aspinwall Street","1","238421","0.00"
"Geneva Loop","1","238421","0.00"
"Allison Avenue","1","238421","0.00"
"L.I.E / G.C.P Cdr","10","238421","0.00"
"Olga Place","1","238421","0.00"
"Schuyler Street","1","238421","0.00"
"135 Drive","1","238421","0.00"
"Gotham Avenue","2","238421","0.00"
"Woods Of Arden Road","2","238421","0.00"
"Marsden Street","11","238421","0.00"
"North Basin Road","3","238421","0.00"
"Robertson Place","1","238421","0.00"
"Gifford Avenue","1","238421","0.00"
"Jeanette Avenue","2","238421","0.00"
"267 Street","9","238421","0.00"
"West170 Street","1","238421","0.00"
"Bay 30 Street","1","238421","0.00"
"Hinckley Place","1","238421","0.00"
"Fairbury Avenue","1","238421","0.00"
"Hubbard Street","6","238421","0.00"
"71 Drive","3","238421","0.00"
"Hart Place","3","238421","0.00"
"Fuller Place","2","238421","0.00"
"Broome Street And","1","238421","0.00"
"Osborne Place","2","238421","0.00"
"92-33 170 Street","1","238421","0.00"
"Casanova Street","8","238421","0.00"
"Station Avenue","2","238421","0.00"
"Mac Dougal Alley","1","238421","0.00"
"Sunfield Avenue","1","238421","0.00"
"Cameron Avenue","1","238421","0.00"
"Beach 124 Street","4","238421","0.00"
"Avenue Of Commerce","2","238421","0.00"
"Margaret Corbin Drive","3","238421","0.00"
"Edgegrove Avenue","6","238421","0.00"
"Bay 41 Street","1","238421","0.00"
"Fordham Street","2","238421","0.00"
"Quintard Street","5","238421","0.00"
"Amethyst Street","9","238421","0.00"
"Mc Kenny Square","1","238421","0.00"
"Richman Plaza","3","238421","0.00"
"153 Place","6","238421","0.00"
"Oxford Street","2","238421","0.00"
"Lake Street","7","238421","0.00"
"Malcom X Blvd","1","238421","0.00"
"23 Terrace","1","238421","0.00"
"New Lane","2","238421","0.00"
"Martense Court","1","238421","0.00"
"Ring Road","3","238421","0.00"
"Noble Street","4","238421","0.00"
"170 Place","1","238421","0.00"
"148 Road","7","238421","0.00"
"Pulaski Avenue","6","238421","0.00"
"Cabrini Blvd","1","238421","0.00"
"Katonah Avenue","9","238421","0.00"
"Alcott Place","3","238421","0.00"
"West 218 Street","6","238421","0.00"
"Porter Road","1","238421","0.00"
"Negundo Avenue","1","238421","0.00"
"Crotona Parkway","11","238421","0.00"
"Benedict Road","1","238421","0.00"
"21 Drive","5","238421","0.00"
"Delafield Avenue","11","238421","0.00"
"162 Avenue","6","238421","0.00"
"Fleet Walk","4","238421","0.00"
"Turner Avenue","1","238421","0.00"
"Banner Avenue","4","238421","0.00"
"Paerdegat 5 Street","1","238421","0.00"
"Hopkins Street","2","238421","0.00"
"Cuthbert Road","4","238421","0.00"
"Laurel Hill Terrace","6","238421","0.00"
"Marx Street","1","238421","0.00"
"Sands Place","1","238421","0.00"
"Weser Avenue","1","238421","0.00"
"Trafalgar Place","3","238421","0.00"
"Delmar Avenue","1","238421","0.00"
"Hennessey Place","5","238421","0.00"
"Dixon Avenue","9","238421","0.00"
"Stone Street","6","238421","0.00"
"Schiefelin Place","11","238421","0.00"
"Ontario Avenue","1","238421","0.00"
"Stuart Street","9","238421","0.00"
"Serena Court","1","238421","0.00"
"Mother Gaston Blvd","11","238421","0.00"
"254 Street","11","238421","0.00"
"Mccully Avenue","1","238421","0.00"
"East 186 Street","8","238421","0.00"
"Bay 37 Street","6","238421","0.00"
"Eirik Place","2","238421","0.00"
"Winston Street","1","238421","0.00"
"Dexter Court","5","238421","0.00"
"Washington Park","6","238421","0.00"
"Foam Place","4","238421","0.00"
"Crossfield Avenue","5","238421","0.00"
"Colfax Avenue","3","238421","0.00"
"Mansion Street","8","238421","0.00"
"Brunswick Avenue","8","238421","0.00"
"Marina Road","5","238421","0.00"
"31 Place","7","238421","0.00"
"Kew Gardens Road","1","238421","0.00"
"Mosco Street","1","238421","0.00"
"River Terrace","7","238421","0.00"
"Harlem River Park Bridge","2","238421","0.00"
"78Av","1","238421","0.00"
"Erasmus Street","11","238421","0.00"
"Folsom Place","1","238421","0.00"
"Boone Street","1","238421","0.00"
"Oneida Avenue","5","238421","0.00"
"181 Place","1","238421","0.00"
"193 Lane","2","238421","0.00"
"Fame Hall Terrace","4","238421","0.00"
"Spruce Street","6","238421","0.00"
"Silver Street","7","238421","0.00"
"Summerfield Avenue","6","238421","0.00"
"Fulton St","2","238421","0.00"
"Malba Drive","2","238421","0.00"
"Belair Road","3","238421","0.00"
"Wellhouse","1","238421","0.00"
"Ladd Avenue","4","238421","0.00"
"Fremont Street","1","238421","0.00"
"Beach 14 Street","5","238421","0.00"
"Galvin Avenue","1","238421","0.00"
"Fort George Avenue","10","238421","0.00"
"Ittner Place","8","238421","0.00"
"North Hanger Road","1","238421","0.00"
"Fink Avenue","4","238421","0.00"
"Glen Avenue","4","238421","0.00"
"Lovell Avenue","1","238421","0.00"
"Dorset Street","2","238421","0.00"
"Hewlett Street","5","238421","0.00"
"Durant Avenue","2","238421","0.00"
"Talbot Street","1","238421","0.00"
"Van Sinderen Avenue","3","238421","0.00"
"Beach 87 Street","6","238421","0.00"
"Overbaugh Place","2","238421","0.00"
"El Camino Loop","1","238421","0.00"
"W 75Th St","1","238421","0.00"
"St Nicholas Ave","2","238421","0.00"
"West 12 Road","1","238421","0.00"
"Beach 72 Street","10","238421","0.00"
"Cypress Hill Street","10","238421","0.00"
"Father Capodanno Boulevard","3","238421","0.00"
"Portal Street","3","238421","0.00"
"Rau Court","1","238421","0.00"
"Mundy Lane","4","238421","0.00"
"Lowerre Place","6","238421","0.00"
"Everitt Place","1","238421","0.00"
"Malcolm X","2","238421","0.00"
"Woodruff Lane","1","238421","0.00"
"Roosevelt Place","1","238421","0.00"
"Reiss Place","1","238421","0.00"
"Woodbine Avenue","2","238421","0.00"
"East 185 Street","8","238421","0.00"
"Queens Midtown Expy","2","238421","0.00"
"Visitation Place","1","238421","0.00"
"Pleasantview Street","2","238421","0.00"
"Gridley Avenue","1","238421","0.00"
"Abbey Court","2","238421","0.00"
"E Loop Road","1","238421","0.00"
"213 Place","1","238421","0.00"
"Edgerton Blvd","1","238421","0.00"
"Debs Place","2","238421","0.00"
"Commerce Street","1","238421","0.00"
"Clove Lake Place","3","238421","0.00"
"Perkiomen Avenue","1","238421","0.00"
"Abbot Street","4","238421","0.00"
"Wright Avenue","2","238421","0.00"
"251 Street","10","238421","0.00"
"West 216 Street","4","238421","0.00"
"Thomas S Boyland St","2","238421","0.00"
"Concrete Plant Park","1","238421","0.00"
"Albion Place","3","238421","0.00"
"Almeda Avenue","9","238421","0.00"
"Hickory Avenue","2","238421","0.00"
"Anchor Drive","1","238421","0.00"
"Goodwin Avenue","2","238421","0.00"
"91 Place","10","238421","0.00"
"Swinnerton Street","2","238421","0.00"
"East 180","1","238421","0.00"
"Southgate Street","2","238421","0.00"
"Herrick Avenue","1","238421","0.00"
"71 Crescent","4","238421","0.00"
"Eger Place","1","238421","0.00"
"Quimby Avenue","2","238421","0.00"
"164 Road","1","238421","0.00"
"Beach 133 Street","1","238421","0.00"
"Stebbins Avenue","10","238421","0.00"
"Fields Avenue","2","238421","0.00"
"School Road","7","238421","0.00"
"192Nd Street","1","238421","0.00"
"Cheever Place","1","238421","0.00"
"Colony Avenue","2","238421","0.00"
"Riverside Drive East","1","238421","0.00"
"Clark Lane","3","238421","0.00"
"Old Kingsbridge Road","1","238421","0.00"
"Kinghorn Street","1","238421","0.00"
"Brighton 1 Street","11","238421","0.00"
"W 238","1","238421","0.00"
"Beach 119 Street","2","238421","0.00"
"Elwood Place","1","238421","0.00"
"West 8Th Street","1","238421","0.00"
"Hoyt Ave","1","238421","0.00"
"47St","1","238421","0.00"
"136 Road","1","238421","0.00"
"220 Place","2","238421","0.00"
"Arnprior Street","1","238421","0.00"
"28 Road","7","238421","0.00"
"Steinway","2","238421","0.00"
"4Th Avenue","1","238421","0.00"
"Humpherys Street","1","238421","0.00"
"Avenue St. John","2","238421","0.00"
"Merivale Lane","1","238421","0.00"
"W 35 Street","1","238421","0.00"
"W 32 St","1","238421","0.00"
"Vandervoort Ave","2","238421","0.00"
"Stevens Place","1","238421","0.00"
"Lowell Street","3","238421","0.00"
"West 201 Street","5","238421","0.00"
"Yates Road","1","238421","0.00"
"Crane Street","1","238421","0.00"
"Pinkney Avenue","3","238421","0.00"
"Beach 91 Street","8","238421","0.00"
"Charlotte Street","3","238421","0.00"
"Hamilton Street","3","238421","0.00"
"Havens Place","2","238421","0.00"
"Jamaica Bay","1","238421","0.00"
"Fairmount Place","3","238421","0.00"
"Hooker Place","3","238421","0.00"
"Mickardan Court","1","238421","0.00"
"Division Place","10","238421","0.00"
"Elks Road","1","238421","0.00"
"Beach 57 Street","4","238421","0.00"
"Albion Avenue","5","238421","0.00"
"79 Lane","3","238421","0.00"
"Amboy Lane","1","238421","0.00"
"Reynolds Court","1","238421","0.00"
"Charles Place","1","238421","0.00"
"Mundy Avenue","1","238421","0.00"
"Dalemere Road","1","238421","0.00"
"Horace Harding Expy","1","238421","0.00"
"6 Ave","1","238421","0.00"
"Sutton Place South","2","238421","0.00"
"Saint Georges Crescent","1","238421","0.00"
"63Rd Street","1","238421","0.00"
"Bay 11 Street","9","238421","0.00"
"Stickney Place","1","238421","0.00"
"St. Pauls Place","1","238421","0.00"
"Beach 114 Street","2","238421","0.00"
"Ramblewood Avenue","2","238421","0.00"
"Sherwood Place","1","238421","0.00"
"106 Road","4","238421","0.00"
"Peter Avenue","2","238421","0.00"
"Husson Street","4","238421","0.00"
"Eckford Avenue","2","238421","0.00"
"Vancortlandt Park South","6","238421","0.00"
"Wilson Terrace","1","238421","0.00"
"Woodland Avenue","1","238421","0.00"
"Faber Terrace","1","238421","0.00"
"Ellis Street","10","238421","0.00"
"Onslow Place","2","238421","0.00"
"Ave St John","1","238421","0.00"
"West 263 Street","2","238421","0.00"
"153 Lane","5","238421","0.00"
"Hopkins Avenue","1","238421","0.00"
"Upton Street","1","238421","0.00"
"Muller Avenue","1","238421","0.00"
"Champlain Avenue","2","238421","0.00"
"Princeton Street","3","238421","0.00"
"W Fordham Road","1","238421","0.00"
"86 Crescent","1","238421","0.00"
"Sloan Place","1","238421","0.00"
"Little West Street","1","238421","0.00"
"Jumel Place","4","238421","0.00"
"Clark Street","8","238421","0.00"
"Greaves Avenue","8","238421","0.00"
"Amaron Lane","1","238421","0.00"
"Joseph P Ward Street","1","238421","0.00"
"Phlox Place","1","238421","0.00"
"Copley Street","2","238421","0.00"
"West Henry Hudson Parkway","1","238421","0.00"
"Java Street","8","238421","0.00"
"River Street","3","238421","0.00"
"Old Town Road","11","238421","0.00"
"W 37 Street","1","238421","0.00"
"Prescott Avenue","1","238421","0.00"
"Audley Street","3","238421","0.00"
"Shore Avenue","4","238421","0.00"
"256 Street","10","238421","0.00"
"Stedman Place","1","238421","0.00"
"Whitman Drive","2","238421","0.00"
"W 29 Street","1","238421","0.00"
"Rockwood Avenue","1","238421","0.00"
"Washington Square West","4","238421","0.00"
"Brinkerhoff Avenue","5","238421","0.00"
"Vanderbilt Street","3","238421","0.00"
"Flushing Park Entrance East","1","238421","0.00"
"Bay Court","1","238421","0.00"
"Plumb 1 Street","2","238421","0.00"
"Minford Place","7","238421","0.00"
"De Sales Place","8","238421","0.00"
"Fowler Avenue","10","238421","0.00"
"Kennellworth Pl","1","238421","0.00"
"Obrien Place","1","238421","0.00"
"Pommer Avenue","1","238421","0.00"
"Lebanon Street","7","238421","0.00"
"Birchall Avenue","2","238421","0.00"
"Desarc Road","1","238421","0.00"
"Donizetti Place","8","238421","0.00"
"Chelsea Piers","1","238421","0.00"
"Harden Street","2","238421","0.00"
"Boat Basin Place","2","238421","0.00"
"Robert F Wagner Place","4","238421","0.00"
"Clearview Expressway Service Roa","3","238421","0.00"
"North 15 Street","1","238421","0.00"
"Marjor Deegan Expressway","1","238421","0.00"
"Empire Avenue","9","238421","0.00"
"Hatfield Place","2","238421","0.00"
"Layton Street","8","238421","0.00"
"Kelly Boulevard","11","238421","0.00"
"Houseman Avenue","1","238421","0.00"
"Wood Road","4","238421","0.00"
"Portland Place","1","238421","0.00"
"Ferry Terminal Drive","1","238421","0.00"
"Suburban Place","1","238421","0.00"
"Mcdonald Avenue","2","238421","0.00"
"Lott Street","6","238421","0.00"
"Wareham Place","2","238421","0.00"
"Macdonough Place","7","238421","0.00"
"Merritt Avenue","7","238421","0.00"
"Barker Street","3","238421","0.00"
"Teunissen Place","1","238421","0.00"
"Longview Road","2","238421","0.00"
"Beach 77St","1","238421","0.00"
"Northern Blvd","7","238421","0.00"
